obd_id,obd_code,obd_description
480,P0414,Secondary Air Injection System Switching Valve A Circuit Shorted
481,P0415,Secondary Air Injection System Switching Valve B Circuit
482,P0416,Secondary Air Injection System Switching Valve B Circuit Open
483,P0417,Secondary Air Injection System Switching Valve B Circuit Shorted
484,P0418,Secondary Air Injection System Control A Circuit
485,P0419,Secondary Air Injection System Control B Circuit
486,P041A,Exhaust Gas Recirculation Temperature Sensor B Circuit
487,P041B,Exhaust Gas Recirculation Temperature Sensor B Circuit Range/Performance
488,P041C,Exhaust Gas Recirculation Temperature Sensor B Circuit Low
489,P041D,Exhaust Gas Recirculation Temperature Sensor B Circuit High
490,P041E,Exhaust Gas Recirculation Temperature Sensor B Circuit Intermittent/Erratic
491,P0420,Catalyst System Efficiency Below Threshold Bank 1
492,P0421,Warm Up Catalyst Efficiency Below Threshold Bank 1
493,P0422,Main Catalyst Efficiency Below Threshold Bank 1
494,P0423,Heated Catalyst Efficiency Below Threshold Bank 1
495,P0424,Heated Catalyst Temperature Below Threshold Bank 1
496,P0425,Catalyst Temperature Sensor Circuit Bank 1 Sensor 1
497,P0426,Catalyst Temperature Sensor Circuit Range/Performance Bank 1 Sensor 1
498,P0427,Catalyst Temperature Sensor Circuit Low Bank 1 Sensor 1
499,P0428,Catalyst Temperature Sensor Circuit High Bank 1 Sensor 1
500,P0429,Catalyst Heater Control Circuit Bank 1
501,P042A,Catalyst Temperature Sensor Circuit Bank 1 Sensor 2
502,P042B,Catalyst Temperature Sensor Circuit Range/Performance Bank 1 Sensor 2
503,P042C,Catalyst Temperature Sensor Circuit Low Bank 1 Sensor 2
504,P042D,Catalyst Temperature Sensor Circuit High Bank 1 Sensor 2
505,P0430,Catalyst System Efficiency Below Threshold Bank 2
506,P0431,Warm Up Catalyst Efficiency Below Threshold Bank 2
507,P0432,Main Catalyst Efficiency Below Threshold Bank 2
508,P0433,Heated Catalyst Efficiency Below Threshold Bank 2
509,P0434,Heated Catalyst Temperature Below Threshold Bank 2
510,P0435,Catalyst Temperature Sensor Circuit Bank 2 Sensor 1
511,P0436,Catalyst Temperature Sensor Circuit Range/Performance Bank 2 Sensor 1
512,P0437,Catalyst Temperature Sensor Circuit Low Bank 2 Sensor 1
513,P0438,Catalyst Temperature Sensor Circuit High Bank 2 Sensor 1
514,P0439,Catalyst Heater Control Circuit Bank 2
515,P043A,Catalyst Temperature Sensor Circuit Bank 2 Sensor 2
516,P043B,Catalyst Temperature Sensor Circuit Range/Performance Bank 2 Sensor 2
517,P043C,Catalyst Temperature Sensor Circuit Low Bank 2 Sensor 2
518,P043D,Catalyst Temperature Sensor Circuit High Bank 2 Sensor 2
519,P043E,Evaporative Emission System Leak Detection Reference Orifice Low Flow
520,P043F,Evaporative Emission System Leak Detection Reference Orifice High Flow
521,P0440,Evaporative Emission System
522,P0441,Evaporative Emission System Incorrect Purge Flow
523,P0442,Evaporative Emission System Leak Detected (small leak)
524,P0443,Evaporative Emission System Purge Control Valve Circuit
525,P0444,Evaporative Emission System Purge Control Valve Circuit Open
526,P0445,Evaporative Emission System Purge Control Valve Circuit Shorted
527,P0446,Evaporative Emission System Vent Control Circuit
528,P0447,Evaporative Emission System Vent Control Circuit Open
529,P0448,Evaporative Emission System Vent Control Circuit Shorted
530,P0449,Evaporative Emission System Vent Valve/Solenoid Circuit
531,P0450,Evaporative Emission System Pressure Sensor/Switch
532,P0451,Evaporative Emission System Pressure Sensor/Switch Range/Performance
533,P0452,Evaporative Emission System Pressure Sensor/Switch Low
534,P0453,Evaporative Emission System Pressure Sensor/Switch High
535,P0454,Evaporative Emission System Pressure Sensor/Switch Intermittent
536,P0455,Evaporative Emission System Leak Detected (large leak)
537,P0456,Evaporative Emission System Leak Detected (very small leak)
538,P0457,Evaporative Emission System Leak Detected (fuel cap loose/off)
539,P0458,Evaporative Emission System Purge Control Valve Circuit Low
540,P0459,Evaporative Emission System Purge Control Valve Circuit High
541,P0460,Fuel Level Sensor A Circuit
542,P0461,Fuel Level Sensor A Circuit Range/Performance
543,P0462,Fuel Level Sensor A Circuit Low
544,P0463,Fuel Level Sensor A Circuit High
545,P0464,Fuel Level Sensor A Circuit Intermittent
546,P0465,EVAP Purge Flow Sensor Circuit
547,P0466,EVAP Purge Flow Sensor Circuit Range/Performance
548,P0467,EVAP Purge Flow Sensor Circuit Low
549,P0468,EVAP Purge Flow Sensor Circuit High
550,P0469,EVAP Purge Flow Sensor Circuit Intermittent
551,P0470,Exhaust Pressure Sensor A Circuit
552,P0471,Exhaust Pressure Sensor A Circuit Range/Performance
553,P0472,Exhaust Pressure Sensor A Circuit Low
554,P0473,Exhaust Pressure Sensor A Circuit High
555,P0474,Exhaust Pressure Sensor A Circuit Intermittent/Erratic
556,P0475,Exhaust Pressure Control Valve
557,P0476,Exhaust Pressure Control Valve Range/Performance
558,P0477,Exhaust Pressure Control Valve Low
559,P0478,Exhaust Pressure Control Valve High
560,P0479,Exhaust Pressure Control Valve Intermittent
561,P047A,Exhaust Pressure Sensor B Circuit
562,P047B,Exhaust Pressure Sensor B Circuit Range/Performance
563,P047C,Exhaust Pressure Sensor B Circuit Low
564,P047D,Exhaust Pressure Sensor B Circuit High
565,P047E,Exhaust Pressure Sensor B Circuit Intermittent/Erratic
566,P0480,Fan 1 Control Circuit
567,P0481,Fan 2 Control Circuit
568,P0482,Fan 3 Control Circuit
569,P0483,Fan Rationality Check
570,P0484,Fan Circuit Over Current
571,P0485,Fan Power/Ground Circuit
572,P0486,Exhaust Gas Recirculation Sensor B Circuit
573,P0487,Exhaust Gas Recirculation Throttle Control Circuit A /Open
574,P0488,Exhaust Gas Recirculation Throttle Control Circuit A Range/Performance
575,P0489,Exhaust Gas Recirculation Control Circuit A Low
576,P0490,Exhaust Gas Recirculation Control Circuit A High
577,P0491,Secondary Air Injection System Insufficient Flow Bank 1
578,P0492,Secondary Air Injection System Insufficient Flow Bank 2
579,P0493,Fan Overspeed
580,P0494,Fan Speed Low
581,P0495,Fan Speed High
582,P0496,Evaporative Emission System High Purge Flow
583,P0497,Evaporative Emission System Low Purge Flow
584,P0498,Evaporative Emission System Vent Valve Control Circuit Low
585,P0499,Evaporative Emission System Vent Valve Control Circuit High
586,P0500,Vehicle Speed Sensor A
587,P0501,Vehicle Speed Sensor A Range/Performance
588,P0502,Vehicle Speed Sensor A Circuit Low
589,P0503,Vehicle Speed Sensor A Intermittent/Erratic/High
590,P0504,Brake Switch A/B Correlation
591,P0505,Idle Air Control System
592,P0506,Idle Air Control System RPM Lower Than Expected
593,P0507,Idle Air Control System RPM Higher Than Expected
594,P0508,Idle Air Control System Circuit Low
595,P0509,Idle Air Control System Circuit High
596,P050A,Cold Start Idle Air Control System Performance
597,P050B,Cold Start Ignition Timing Performance
598,P050C,Cold Start Engine Coolant Temperature Performance
599,P050D,Cold Start Rough Idle
600,P0510,Closed Throttle Position Switch
601,P0511,Idle Air Control Circuit
602,P0512,Starter Request Circuit
603,P0513,Incorrect Immobilizer Key
604,P0514,Battery Temperature Sensor Circuit Range/Performance
605,P0515,Battery Temperature Sensor Circuit
606,P0516,Battery Temperature Sensor Circuit Low
607,P0517,Battery Temperature Sensor Circuit High
608,P0518,Idle Air Control Circuit Intermittent
609,P0519,Idle Air Control System Performance
610,P0520,Engine Oil Pressure Sensor/Switch Circuit
611,P0521,Engine Oil Pressure Sensor/Switch Range/Performance
612,P0522,Engine Oil Pressure Sensor/Switch Low
613,P0523,Engine Oil Pressure Sensor/Switch High
614,P0524,Engine Oil Pressure Too Low
615,P0525,Cruise Control Servo Control Circuit Range/Performance
616,P0526,Fan Speed Sensor Circuit
617,P0527,Fan Speed Sensor Circuit Range/Performance
618,P0528,Fan Speed Sensor Circuit No Signal
619,P0529,Fan Speed Sensor Circuit Intermittent
620,P0530,A/C Refrigerant Pressure Sensor A Circuit
621,P0531,A/C Refrigerant Pressure Sensor A Circuit Range/Performance
622,P0532,A/C Refrigerant Pressure Sensor A Circuit Low
623,P0533,A/C Refrigerant Pressure Sensor A Circuit High
624,P0534,A/C Refrigerant Charge Loss
625,P0535,A/C Evaporator Temperature Sensor Circuit
626,P0536,A/C Evaporator Temperature Sensor Circuit Range/Performance
627,P0537,A/C Evaporator Temperature Sensor Circuit Low
628,P0538,A/C Evaporator Temperature Sensor Circuit High
629,P0539,A/C Evaporator Temperature Sensor Circuit Intermittent
630,P053A,Positive Crankcase Ventilation Heater Control Circuit /Open
631,P053B,Positive Crankcase Ventilation Heater Control Circuit Low
632,P053C,Positive Crankcase Ventilation Heater Control Circuit High
633,P0540,Intake Air Heater A Circuit
634,P0541,Intake Air Heater A Circuit Low
635,P0542,Intake Air Heater A Circuit High
636,P0543,Intake Air Heater A Circuit Open
637,P0544,Exhaust Gas Temperature Sensor Circuit Bank 1 Sensor 1
638,P0545,Exhaust Gas Temperature Sensor Circuit Low Bank 1 Sensor 1
639,P0546,Exhaust Gas Temperature Sensor Circuit High Bank 1 Sensor 1
640,P0547,Exhaust Gas Temperature Sensor Circuit Bank 2 Sensor 1
641,P0548,Exhaust Gas Temperature Sensor Circuit Low Bank 2 Sensor 1
642,P0549,Exhaust Gas Temperature Sensor Circuit High Bank 2 Sensor 1
643,P0550,Power Steering Pressure Sensor/Switch Circuit
644,P0551,Power Steering Pressure Sensor/Switch Circuit Range/Performance
645,P0552,Power Steering Pressure Sensor/Switch Circuit Low
646,P0553,Power Steering Pressure Sensor/Switch Circuit High
647,P0554,Power Steering Pressure Sensor/Switch Circuit Intermittent
648,P0555,Brake Booster Pressure Sensor Circuit
649,P0556,Brake Booster Pressure Sensor Circuit Range/Performance
650,P0557,Brake Booster Pressure Sensor Circuit Low
651,P0558,Brake Booster Pressure Sensor Circuit High
652,P0559,Brake Booster Pressure Sensor Circuit Intermittent
653,P0560,System Voltage
654,P0561,System Voltage Unstable
655,P0562,System Voltage Low
656,P0563,System Voltage High
657,P0564,Cruise Control Multi-Function Input A Circuit
658,P0565,Cruise Control On Signal
659,P0566,Cruise Control Off Signal
660,P0567,Cruise Control Resume Signal
661,P0568,Cruise Control Set Signal
662,P0569,Cruise Control Coast Signal
663,P056A,Cruise Control Increase Distance Signal
664,P056B,Cruise Control Decrease Distance Signal
665,P0570,Cruise Control Accelerate Signal
666,P0571,Brake Switch A Circuit
667,P0572,Brake Switch A Circuit Low
668,P0573,Brake Switch A Circuit High
669,P0574,Cruise Control System Vehicle Speed Too High
670,P0575,Cruise Control Input Circuit
671,P0576,Cruise Control Input Circuit Low
672,P0577,Cruise Control Input Circuit High
673,P0578,Cruise Control Multi-Function Input A Circuit Stuck
674,P0579,Cruise Control Multi-Function Input A Circuit Range/Performance
675,P0580,Cruise Control Multi-Function Input A Circuit Low
676,P0581,Cruise Control Multi-Function Input A Circuit High
677,P0582,Cruise Control Vacuum Control Circuit/Open
678,P0583,Cruise Control Vacuum Control Circuit Low
679,P0584,Cruise Control Vacuum Control Circuit High
680,P0585,Cruise Control Multi-Function Input A/B Correlation
681,P0586,Cruise Control Vent Control Circuit/Open
682,P0587,Cruise Control Vent Control Circuit Low
683,P0588,Cruise Control Vent Control Circuit High
684,P0589,Cruise Control Multi-Function Input B Circuit
685,P0590,Cruise Control Multi-Function Input B Circuit Stuck
686,P0591,Cruise Control Multi-Function Input B Circuit Range/Performance
687,P0592,Cruise Control Multi-Function Input B Circuit Low
688,P0593,Cruise Control Multi-Function Input B Circuit High
689,P0594,Cruise Control Servo Control Circuit/Open
690,P0595,Cruise Control Servo Control Circuit Low
691,P0596,Cruise Control Servo Control Circuit High
692,P0597,Thermostat Heater Control Circuit/Open
693,P0598,Thermostat Heater Control Circuit Low
694,P0599,Thermostat Heater Control Circuit High
695,P0600,Serial Communication Link
696,P0601,Internal Control Module Memory Check Sum Error
697,P0602,Control Module Programming Error
698,P0603,Internal Control Module Keep Alive Memory (KAM) Error
699,P0604,Internal Control Module Random Access Memory (RAM) Error
700,P0605,Internal Control Module Read Only Memory (ROM) Error
701,P0606,ECM/PCM Processor
702,P0607,Control Module Performance
703,P0608,Control Module VSS Output A
704,P0609,Control Module VSS Output B
705,P060A,Internal Control Module Monitoring Processor Performance
706,P060B,Internal Control Module A/D Processing Performance
707,P060C,Internal Control Module Main Processor Performance
708,P060D,Internal Control Module Accelerator Pedal Position Performance
709,P060E,Internal Control Module Throttle Position Performance
710,P060F,Internal Control Module Coolant Temperature Performance
711,P0610,Control Module Vehicle Options Error
712,P0611,Fuel Injector Control Module Performance
713,P0612,Fuel Injector Control Module Relay Control
714,P0613,TCM Processor
715,P0614,ECM / TCM Incompatible
716,P0615,Starter Relay Circuit
717,P0616,Starter Relay Circuit Low
718,P0617,Starter Relay Circuit High
719,P0618,Alternative Fuel Control Module KAM Error
720,P0619,Alternative Fuel Control Module RAM/ROM Error
721,P061A,Internal Control Module Torque Performance
722,P061B,Internal Control Module Torque Calculation Performance
723,P061C,Internal Control Module Engine RPM Performance
724,P061D,Internal Control Module Engine Air Mass Performance
725,P061E,Internal Control Module Brake Signal Performance
726,P061F,Internal Control Module Throttle Actuator Controller Performance
727,P0620,Generator Control Circuit
728,P0621,Generator Lamp/L Terminal Circuit
729,P0622,Generator Field/F Terminal Circuit
730,P0623,Generator Lamp Control Circuit
731,P0624,Fuel Cap Lamp Control Circuit
732,P0625,Generator Field/F Terminal Circuit Low
733,P0626,Generator Field/F Terminal Circuit High
734,P0627,Fuel Pump A Control Circuit/Open
735,P0628,Fuel Pump A Control Circuit Low
736,P0629,Fuel Pump A Control Circuit High
737,P062A,Fuel Pump A Control Circuit Range/Performance
738,P062B,Internal Control Module Fuel Injector Control Performance
739,P062C,Internal Control Module Vehicle Speed Performance
740,P062D,Fuel Injector Driver Circuit Performance Bank 1
741,P062E,Fuel Injector Driver Circuit Performance Bank 2
742,P062F,Internal Control Module EEPROM Error
743,P0630,VIN Not Programmed or Incompatible ECM/PCM
744,P0631,VIN Not Programmed or Incompatible TCM
745,P0632,Odometer Not Programmed ECM/PCM
746,P0633,Immobilizer Key Not Programmed ECM/PCM
747,P0634,PCM/ECM/TCM Internal Temperature Too High
748,P0635,Power Steering Control Circuit
749,P0636,Power Steering Control Circuit Low
750,P0637,Power Steering Control Circuit High
751,P0638,Throttle Actuator Control Range/Performance Bank 1
752,P0639,Throttle Actuator Control Range/Performance Bank 2
753,P063A,Generator Voltage Sense Circuit
754,P063B,Generator Voltage Sense Circuit Range/Performance
755,P063C,Generator Voltage Sense Circuit Low
756,P063D,Generator Voltage Sense Circuit High
757,P063E,Auto Configuration Throttle Input Not Present
758,P063F,Auto Configuration Engine Coolant Temperature Input Not Present
759,P0640,Intake Air Heater Control Circuit
760,P0641,Sensor Reference Voltage A Circuit/Open
761,P0642,Sensor Reference Voltage A Circuit Low
762,P0643,Sensor Reference Voltage A Circuit High
763,P0644,Driver Display Serial Communication Circuit
764,P0645,A/C Clutch Relay Control Circuit
765,P0646,A/C Clutch Relay Control Circuit Low
766,P0647,A/C Clutch Relay Control Circuit High
767,P0648,Immobilizer Lamp Control Circuit
768,P0649,Speed Control Lamp Control Circuit
769,P0650,Malfunction Indicator Lamp (MIL) Control Circuit
770,P0651,Sensor Reference Voltage B Circuit/Open
771,P0652,Sensor Reference Voltage B Circuit Low
772,P0653,Sensor Reference Voltage B Circuit High
773,P0654,Engine RPM Output Circuit
774,P0655,Engine Hot Lamp Output Control Circuit
775,P0656,Fuel Level Output Circuit
776,P0657,Actuator Supply Voltage A Circuit/Open
777,P0658,Actuator Supply Voltage A Circuit Low
778,P0659,Actuator Supply Voltage A Circuit High
779,P065A,Generator System Performance
780,P065B,Generator Control Circuit Range/Performance
781,P0660,Intake Manifold Tuning Valve Control Circuit/Open Bank 1a
782,P0661,Intake Manifold Tuning Valve Control Circuit Low Bank 1a
783,P0662,Intake Manifold Tuning Valve Control Circuit High Bank 1a
784,P0663,Intake Manifold Tuning Valve Control Circuit/Open Bank 2a
785,P0664,Intake Manifold Tuning Valve Control Circuit Low Bank 2a
786,P0665,Intake Manifold Tuning Valve Control Circuit High Bank 2a
787,P0666,PCM/ECM/TCM Internal Temperature Sensor Circuit
788,P0667,PCM/ECM/TCM Internal Temperature Sensor Range/Performance
789,P0668,PCM/ECM/TCM Internal Temperature Sensor Circuit Low
790,P0669,PCM/ECM/TCM Internal Temperature Sensor Circuit High
791,P066A,Glow Plug 1 Control Circuit Low
792,P066B,Glow Plug 1 Control Circuit High
793,P066C,Glow Plug 2 Control Circuit Low
794,P066D,Glow Plug 2 Control Circuit High
795,P066E,Glow Plug 3 Control Circuit Low
796,P066F,Glow Plug 3 Control Circuit High
797,P0670,Glow Plug Control Module Control Circuit/Open
798,P0671,Cylinder 1 Glow Plug Circuit/Open
799,P0672,Cylinder 2 Glow Plug Circuit/Open
800,P0673,Cylinder 3 Glow Plug Circuit/Open
801,P0674,Cylinder 4 Glow Plug Circuit/Open
802,P0675,Cylinder 5 Glow Plug Circuit/Open
803,P0676,Cylinder 6 Glow Plug Circuit/Open
804,P0677,Cylinder 7 Glow Plug Circuit/Open
805,P0678,Cylinder 8 Glow Plug Circuit/Open
806,P0679,Cylinder 9 Glow Plug Circuit/Open
807,P067A,Glow Plug 4 Control Circuit Low
808,P067B,Glow Plug 4 Control Circuit High
809,P067C,Glow Plug 5 Control Circuit Low
810,P067D,Glow Plug 5 Control Circuit High
811,P067E,Glow Plug 6 Control Circuit Low
812,P067F,Glow Plug 6 Control Circuit High
813,P0680,Cylinder 10 Glow Plug Circuit/Open
814,P0681,Cylinder 11 Glow Plug Circuit/Open
815,P0682,Cylinder 12 Glow Plug Circuit/Open
816,P0683,Glow Plug Control Module to PCM Communication Circuit
817,P0684,Glow Plug Control Module to PCM Communication Circuit Range/Performance
818,P0685,ECM/PCM Power Relay Control Circuit/Open
819,P0686,ECM/PCM Power Relay Control Circuit Low
820,P0687,ECM/PCM Power Relay Control Circuit High
821,P0688,ECM/PCM Power Relay Sense Circuit/Open
822,P0689,ECM/PCM Power Relay Sense Circuit Low
823,P068A,ECM/PCM Power Relay De-Energized Performance Too Early
824,P068B,ECM/PCM Power Relay De-Energized Performance Too Late
825,P068C,Glow Plug 7 Control Circuit Low
826,P068D,Glow Plug 7 Control Circuit High
827,P068E,Glow Plug 8 Control Circuit Low
828,P068F,Glow Plug 8 Control Circuit High
829,P0690,ECM/PCM Power Relay Sense Circuit High
830,P0691,Fan 1 Control Circuit Low
831,P0692,Fan 1 Control Circuit High
832,P0693,Fan 2 Control Circuit Low
833,P0694,Fan 2 Control Circuit High
834,P0695,Fan 3 Control Circuit Low
835,P0696,Fan 3 Control Circuit High
836,P0697,Sensor Reference Voltage C Circuit/Open
837,P0698,Sensor Reference Voltage C Circuit Low
838,P0699,Sensor Reference Voltage C Circuit High
839,P069A,Glow Plug 9 Control Circuit Low
840,P069B,Glow Plug 9 Control Circuit High
841,P069C,Glow Plug 10 Control Circuit Low
842,P069D,Glow Plug 10 Control Circuit High
843,P0700,Transmission Control System (MIL Request)
844,P0701,Transmission Control System Range/Performance
845,P0702,Transmission Control System Electrical
846,P0703,Brake Switch B Circuit
847,P0704,Clutch Switch Input Circuit
848,P0705,Transmission Range Sensor A Circuit (PRNDL Input)
849,P0706,Transmission Range Sensor A Circuit Range/Performance
850,P0707,Transmission Range Sensor A Circuit Low
851,P0708,Transmission Range Sensor A Circuit High
852,P0709,Transmission Range Sensor A Circuit Intermittent
853,P070A,Transmission Fluid Level Sensor Circuit
854,P070B,Transmission Fluid Level Sensor Circuit Range/Performance
855,P070C,Transmission Fluid Level Sensor Circuit Low
856,P070D,Transmission Fluid Level Sensor Circuit High
857,P070E,Transmission Fluid Level Sensor Circuit intermittent/Erratic
858,P070F,Transmission Fluid Level Too Low
859,P0710,Transmission Fluid Temperature Sensor A Circuit
860,P0711,Transmission Fluid Temperature Sensor A Circuit Range/Performance
861,P0712,Transmission Fluid Temperature Sensor A Circuit Low
862,P0713,Transmission Fluid Temperature Sensor A Circuit High
863,P0714,Transmission Fluid Temperature Sensor A Circuit Intermittent
864,P0715,Input/Turbine Speed Sensor A Circuit
865,P0716,Input/Turbine Speed Sensor A Circuit Range/Performance
866,P0717,Input/Turbine Speed Sensor A Circuit No Signal
867,P0718,Input/Turbine Speed Sensor A Circuit Intermittent
868,P0719,Brake Switch B Circuit Low
869,P071A,Transmission Mode Switch A Circuit
870,P071B,Transmission Mode Switch A Circuit Low
871,P071C,Transmission Mode Switch A Circuit High
872,P071D,Transmission Mode Switch B Circuit
873,P071E,Transmission Mode Switch B Circuit Low
874,P071F,Transmission Mode Switch B Circuit High
875,P0720,Output Speed Sensor Circuit
876,P0721,Output Speed Sensor Circuit Range/Performance
877,P0722,Output Speed Sensor Circuit No Signal
878,P0723,Output Speed Sensor Circuit Intermittent
879,P0724,Brake Switch B Circuit High
880,P0725,Engine Speed Input Circuit
881,P0726,Engine Speed Input Circuit Range/Performance
882,P0727,Engine Speed Input Circuit No Signal
883,P0728,Engine Speed Input Circuit Intermittent
884,P0729,Gear 6 Incorrect Ratio
885,P0730,Incorrect Gear Ratio
886,P0731,Gear 1 Incorrect Ratio
887,P0732,Gear 2 Incorrect Ratio
888,P0733,Gear 3 Incorrect Ratio
889,P0734,Gear 4 Incorrect Ratio
890,P0735,Gear 5 Incorrect Ratio
891,P0736,Reverse Incorrect Ratio
892,P0737,TCM Engine Speed Output Circuit
893,P0738,TCM Engine Speed Output Circuit Low
894,P0739,TCM Engine Speed Output Circuit High
895,P0740,Torque Converter Clutch Circuit/Open
896,P0741,Torque Converter Clutch Circuit Performance/Stuck Off
897,P0742,Torque Converter Clutch Circuit Stuck On
898,P0743,Torque Converter Clutch Circuit Electrical
899,P0744,Torque Converter Clutch Circuit Intermittent
900,P0745,Pressure Control Solenoid A
901,P0746,Pressure Control Solenoid A Performance/Stuck Off
902,P0747,Pressure Control Solenoid A Stuck On
903,P0748,Pressure Control Solenoid A Electrical
904,P0749,Pressure Control Solenoid A Intermittent
905,P0750,Shift Solenoid A
906,P0751,Shift Solenoid A Performance/Stuck Off
907,P0752,Shift Solenoid A Stuck On
908,P0753,Shift Solenoid A Electrical
909,P0754,Shift Solenoid A Intermittent
910,P0755,Shift Solenoid B
911,P0756,Shift Solenoid B Performance/Stuck Off
912,P0757,Shift Solenoid B Stuck On
913,P0758,Shift Solenoid B Electrical
914,P0759,Shift Solenoid B Intermittent
915,P075A,Shift Solenoid G
916,P075B,Shift Solenoid G Performance/Stuck Off
917,P075C,Shift Solenoid G Stuck On
918,P075D,Shift Solenoid G Electrical
919,P075E,Shift Solenoid G Intermittent
920,P0760,Shift Solenoid C
921,P0761,Shift Solenoid C Performance/Stuck Off
922,P0762,Shift Solenoid C Stuck On
923,P0763,Shift Solenoid C Electrical
924,P0764,Shift Solenoid C Intermittent
925,P0765,Shift Solenoid D
926,P0766,Shift Solenoid D Performance/Stuck Off
927,P0767,Shift Solenoid D Stuck On
928,P0768,Shift Solenoid D Electrical
929,P0769,Shift Solenoid D Intermittent
930,P076A,Shift Solenoid H
931,P076B,Shift Solenoid H Performance/Stuck Off
932,P076C,Shift Solenoid H Stuck On
933,P076D,Shift Solenoid H Electrical
934,P076E,Shift Solenoid H Intermittent
935,P076F,Gear 7 Incorrect Ratio
936,P0770,Shift Solenoid E
937,P0771,Shift Solenoid E Performance/Stuck Off
938,P0772,Shift Solenoid E Stuck On
939,P0773,Shift Solenoid E Electrical
940,P0774,Shift Solenoid E Intermittent
941,P0775,Pressure Control Solenoid B
942,P0776,Pressure Control Solenoid B Performance/Stuck Off
943,P0777,Pressure Control Solenoid B Stuck On
944,P0778,Pressure Control Solenoid B Electrical
945,P0779,Pressure Control Solenoid B Intermittent
946,P0780,Shift Error
947,P0781,1-2 Shift
948,P0782,2-3 Shift
949,P0783,3-4 Shift
950,P0784,4-5 Shift
951,P0785,Shift/Timing Solenoid
952,P0786,Shift/Timing Solenoid Range/Performance
953,P0787,Shift/Timing Solenoid Low
954,P0788,Shift/Timing Solenoid High
955,P0789,Shift/Timing Solenoid Intermittent
956,P0790,Normal/Performance Switch Circuit
957,P0791,Intermediate Shaft Speed Sensor A Circuit
958,P0792,Intermediate Shaft Speed Sensor A Circuit Range/Performance
959,P0793,Intermediate Shaft Speed Sensor A Circuit No Signal
960,P0794,Intermediate Shaft Speed Sensor A Circuit Intermittent
961,P0795,Pressure Control Solenoid C
962,P0796,Pressure Control Solenoid C Performance/Stuck Off
963,P0797,Pressure Control Solenoid C Stuck On
964,P0798,Pressure Control Solenoid C Electrical
965,P0799,Pressure Control Solenoid C Intermittent
966,P0800,Transfer Case Control System (MIL Request)
967,P0801,Reverse Inhibit Control Circuit
968,P0802,Transmission Control System MIL Request Circuit/Open
969,P0803,Upshift/Skip Shift Solenoid Control Circuit
970,P0804,Upshift/Skip Shift Lamp Control Circuit
971,P0805,Clutch Position Sensor Circuit
972,P0806,Clutch Position Sensor Circuit Range/Performance
973,P0807,Clutch Position Sensor Circuit Low
974,P0808,Clutch Position Sensor Circuit High
975,P0809,Clutch Position Sensor Circuit Intermittent
976,P080A,Clutch Position Not Learned
977,P080B,Upshift/Skip Shift Solenoid Control Circuit Range/Performance
978,P080C,Upshift/Skip Shift Solenoid Control Circuit Low
979,P080D,Upshift/Skip Shift Solenoid Control Circuit High
980,P0810,Clutch Position Control Error
981,P0811,Excessive Clutch A Slippage
982,P0812,Reverse Input Circuit
983,P0813,Reverse Output Circuit
984,P0814,Transmission Range Display Circuit
985,P0815,Upshift Switch Circuit
986,P0816,Downshift Switch Circuit
987,P0817,Starter Disable Circuit/Open
988,P0818,Driveline Disconnect Switch Input Circuit
989,P0819,Up and Down Shift Switch to Transmission Range Correlation
990,P081A,Starter Disable Circuit Low
991,P081B,Starter Disable Circuit High
992,P081C,Park Input Circuit
993,P081D,Neutral Input Circuit
994,P081E,Excessive Clutch B Slippage
995,P0820,Gear Lever X-Y Position Sensor Circuit
996,P0821,Gear Lever X Position Circuit
997,P0822,Gear Lever Y Position Circuit
998,P0823,Gear Lever X Position Circuit Intermittent
999,P0824,Gear Lever Y Position Circuit Intermittent
1000,P0825,Gear Lever Push-Pull Switch (Shift Anticipate)
1001,P0826,Up and Down Shift Switch Circuit
1002,P0827,Up and Down Shift Switch Circuit Low
1003,P0828,Up and Down Shift Switch Circuit High
1004,P0829,5-6 Shift
1005,P0830,Clutch Pedal Switch A Circuit
1006,P0831,Clutch Pedal Switch A Circuit Low
1007,P0832,Clutch Pedal Switch A Circuit High
1008,P0833,Clutch Pedal Switch B Circuit
1009,P0834,Clutch Pedal Switch B Circuit Low
1010,P0835,Clutch Pedal Switch B Circuit High
1011,P0836,Four Wheel Drive (4WD) Switch Circuit
1012,P0837,Four Wheel Drive (4WD) Switch Circuit Range/Performance
1013,P0838,Four Wheel Drive (4WD) Switch Circuit Low
1014,P0839,Four Wheel Drive (4WD) Switch Circuit High
1015,P083A,Transmission Fluid Pressure Sensor/Switch G Circuit
1016,P083B,Transmission Fluid Pressure Sensor/Switch G Circuit Range/Performance
1017,P083C,Transmission Fluid Pressure Sensor/Switch G Circuit Low
1018,P083D,Transmission Fluid Pressure Sensor/Switch G Circuit High
1019,P083E,Transmission Fluid Pressure Sensor/Switch G Circuit Intermittent
1020,P083F,Clutch Pedal Switch A/B Correlation
1021,P0840,Transmission Fluid Pressure Sensor/Switch A Circuit
1022,P0841,Transmission Fluid Pressure Sensor/Switch A Circuit Range/Performance
1023,P0842,Transmission Fluid Pressure Sensor/Switch A Circuit Low
1024,P0843,Transmission Fluid Pressure Sensor/Switch A Circuit High
1025,P0844,Transmission Fluid Pressure Sensor/Switch A Circuit Intermittent
1026,P0845,Transmission Fluid Pressure Sensor/Switch B Circuit
1027,P0846,Transmission Fluid Pressure Sensor/Switch B Circuit Range/Performance
